file,emotion
1.jpg,0
2.jpg,0
3.jpg,2
4.jpg,4
5.jpg,6
6.jpg,2
7.jpg,4
8.jpg,3
9.jpg,3
10.jpg,2
11.jpg,0
12.jpg,6
13.jpg,6
14.jpg,6
15.jpg,3
16.jpg,5
17.jpg,3
18.jpg,2
19.jpg,6
20.jpg,4
21.jpg,4
22.jpg,2
23.jpg,0
24.jpg,0
25.jpg,3
26.jpg,3
27.jpg,5
28.jpg,0
29.jpg,3
30.jpg,5
31.jpg,3
32.jpg,6
33.jpg,3
34.jpg,2
35.jpg,3
36.jpg,6
37.jpg,6
38.jpg,6
39.jpg,0
40.jpg,5
41.jpg,0
42.jpg,3
43.jpg,4
44.jpg,0
45.jpg,6
46.jpg,2
47.jpg,3
48.jpg,6
49.jpg,2
50.jpg,2
51.jpg,2
52.jpg,5
53.jpg,5
54.jpg,6
55.jpg,4
56.jpg,5
57.jpg,0
58.jpg,3
59.jpg,4
60.jpg,2
61.jpg,6
62.jpg,5
63.jpg,3
64.jpg,4
65.jpg,3
66.jpg,0
67.jpg,4
68.jpg,3
69.jpg,0
70.jpg,5
71.jpg,4
72.jpg,2
73.jpg,4
74.jpg,2
75.jpg,0
76.jpg,6
77.jpg,0
78.jpg,0
79.jpg,5
80.jpg,4
81.jpg,3
82.jpg,5
83.jpg,3
84.jpg,6
85.jpg,2
86.jpg,2
87.jpg,4
88.jpg,4
89.jpg,5
90.jpg,4
91.jpg,0
92.jpg,0
93.jpg,6
94.jpg,0
95.jpg,6
96.jpg,2
97.jpg,2
98.jpg,3
99.jpg,4
100.jpg,3
101.jpg,3
102.jpg,2
103.jpg,6
104.jpg,3
105.jpg,4
106.jpg,3
107.jpg,2
108.jpg,0
109.jpg,2
110.jpg,3
111.jpg,2
112.jpg,3
113.jpg,6
114.jpg,6
115.jpg,3
116.jpg,4
117.jpg,4
118.jpg,0
119.jpg,3
120.jpg,3
121.jpg,0
122.jpg,2
123.jpg,0
124.jpg,0
125.jpg,3
126.jpg,3
127.jpg,0
128.jpg,4
129.jpg,5
130.jpg,2
131.jpg,4
132.jpg,2
133.jpg,5
134.jpg,3
135.jpg,0
136.jpg,6
137.jpg,6
138.jpg,2
139.jpg,2
140.jpg,3
141.jpg,2
142.jpg,3
143.jpg,3
144.jpg,3
145.jpg,3
146.jpg,3
147.jpg,4
148.jpg,2
149.jpg,2
150.jpg,0
151.jpg,0
152.jpg,2
153.jpg,6
154.jpg,3
155.jpg,4
156.jpg,5
157.jpg,3
158.jpg,0
159.jpg,2
160.jpg,4
161.jpg,5
162.jpg,2
163.jpg,3
164.jpg,4
165.jpg,6
166.jpg,3
167.jpg,4
168.jpg,3
169.jpg,6
170.jpg,0
171.jpg,4
172.jpg,4
173.jpg,4
174.jpg,2
175.jpg,6
176.jpg,5
177.jpg,5
178.jpg,6
179.jpg,5
180.jpg,2
181.jpg,3
182.jpg,2
183.jpg,3
184.jpg,4
185.jpg,0
186.jpg,2
187.jpg,0
188.jpg,3
189.jpg,0
190.jpg,2
191.jpg,2
192.jpg,5
193.jpg,3
194.jpg,5
195.jpg,5
196.jpg,4
197.jpg,3
198.jpg,0
199.jpg,6
200.jpg,5
201.jpg,2
202.jpg,6
203.jpg,0
204.jpg,0
205.jpg,4
206.jpg,5
207.jpg,6
208.jpg,3
209.jpg,5
210.jpg,5
211.jpg,3
212.jpg,2
213.jpg,2
214.jpg,3
215.jpg,3
216.jpg,3
217.jpg,3
218.jpg,6
219.jpg,3
220.jpg,6
221.jpg,3
222.jpg,0
223.jpg,6
224.jpg,3
225.jpg,2
226.jpg,0
227.jpg,6
228.jpg,5
229.jpg,6
230.jpg,0
231.jpg,5
232.jpg,4
233.jpg,3
234.jpg,0
235.jpg,3
236.jpg,0
237.jpg,4
238.jpg,5
239.jpg,4
240.jpg,3
241.jpg,3
242.jpg,0
243.jpg,0
244.jpg,6
245.jpg,2
246.jpg,0
247.jpg,6
248.jpg,3
249.jpg,0
250.jpg,0
251.jpg,6
252.jpg,0
253.jpg,5
254.jpg,6
255.jpg,3
256.jpg,2
257.jpg,5
258.jpg,5
259.jpg,2
260.jpg,0
261.jpg,2
262.jpg,6
263.jpg,6
264.jpg,0
265.jpg,2
266.jpg,3
267.jpg,4
268.jpg,2
269.jpg,6
270.jpg,5
271.jpg,2
272.jpg,2
273.jpg,6
274.jpg,6
275.jpg,6
276.jpg,2
277.jpg,5
278.jpg,3
279.jpg,0
280.jpg,5
281.jpg,0
282.jpg,4
283.jpg,3
284.jpg,3
285.jpg,3
286.jpg,3
287.jpg,6
288.jpg,3
289.jpg,2
290.jpg,4
291.jpg,6
292.jpg,3
293.jpg,2
294.jpg,4
295.jpg,0
296.jpg,0
297.jpg,3
298.jpg,2
299.jpg,0
300.jpg,1
301.jpg,2
302.jpg,2
303.jpg,5
304.jpg,3
305.jpg,5
306.jpg,4
307.jpg,4
308.jpg,0
309.jpg,2
310.jpg,3
311.jpg,4
312.jpg,6
313.jpg,4
314.jpg,2
315.jpg,2
316.jpg,3
317.jpg,5
318.jpg,4
319.jpg,4
320.jpg,5
321.jpg,6
322.jpg,4
323.jpg,5
324.jpg,0
325.jpg,3
326.jpg,3
327.jpg,3
328.jpg,2
329.jpg,5
330.jpg,5
331.jpg,5
332.jpg,3
333.jpg,5
334.jpg,3
335.jpg,3
336.jpg,3
337.jpg,5
338.jpg,6
339.jpg,0
340.jpg,4
341.jpg,2
342.jpg,2
343.jpg,0
344.jpg,4
345.jpg,5
346.jpg,5
347.jpg,6
348.jpg,6
349.jpg,3
350.jpg,2
351.jpg,4
352.jpg,2
353.jpg,4
354.jpg,0
355.jpg,5
356.jpg,0
357.jpg,3
358.jpg,5
359.jpg,2
360.jpg,4
361.jpg,0
362.jpg,4
363.jpg,5
364.jpg,6
365.jpg,3
366.jpg,2
367.jpg,3
368.jpg,5
369.jpg,0
370.jpg,0
371.jpg,3
372.jpg,3
373.jpg,2
374.jpg,6
375.jpg,0
376.jpg,2
377.jpg,6
378.jpg,0
379.jpg,3
380.jpg,2
381.jpg,3
382.jpg,2
383.jpg,6
384.jpg,4
385.jpg,3
386.jpg,4
387.jpg,4
388.jpg,0
389.jpg,1
390.jpg,2
391.jpg,4
392.jpg,6
393.jpg,5
394.jpg,0
395.jpg,4
396.jpg,6
397.jpg,6
398.jpg,6
399.jpg,2
400.jpg,6
401.jpg,4
402.jpg,3
403.jpg,2
404.jpg,4
405.jpg,0
406.jpg,6
407.jpg,3
408.jpg,2
